Timestamp,INDI_Outer.disturbance,INDI_Outer.disturbance_f,INDI_Outer.disturbance_a
63097,0.8174999952316284,0.8175038695335388,0.8175032138824463
63117,0.8174999952316284,0.8175040483474731,0.8175032138824463
63137,0.8174999952316284,0.8175041079521179,0.8175032138824463
63157,0.8174999952316284,0.8175039291381836,0.8175032138824463
63177,0.8174999952316284,0.8175038695335388,0.8175032138824463
63197,0.8174999952316284,0.8175040483474731,0.8175032138824463
63217,0.8174999952316284,0.8175041079521179,0.8175032138824463
63237,0.8174999952316284,0.8175039291381836,0.8175032138824463
63257,0.8174999952316284,0.8175038695335388,0.8175032138824463
63277,0.8174999952316284,0.8175040483474731,0.8175032138824463
63297,0.8174999952316284,0.8175041079521179,0.8175032138824463
63317,0.8174999952316284,0.8175039291381836,0.8175032138824463
63337,0.8174999952316284,0.8175038695335388,0.8175032138824463
63357,0.8174999952316284,0.8175040483474731,0.8175032138824463
63377,0.8174999952316284,0.8175041079521179,0.8175032138824463
63397,0.8174999952316284,0.8175039291381836,0.8175032138824463
63417,0.8174999952316284,0.8175038695335388,0.8175032138824463
63437,0.8174999952316284,0.8175040483474731,0.8175032138824463
63457,0.8174999952316284,0.8175041079521179,0.8175032138824463
63477,0.8174999952316284,0.8175039291381836,0.8175032138824463
63497,0.8174999952316284,0.8175038695335388,0.8175032138824463
63517,0.8174999952316284,0.8175040483474731,0.8175032138824463
63537,0.8174999952316284,0.8175041079521179,0.8175032138824463
63557,0.8174999952316284,0.8175039291381836,0.8175032138824463
63577,0.8174999952316284,0.8175038695335388,0.8175032138824463
63597,0.8174999952316284,0.8175040483474731,0.8175032138824463
63617,0.8174999952316284,0.8175041079521179,0.8175032138824463
63637,0.8174999952316284,0.8175039291381836,0.8175032138824463
63657,0.8174999952316284,0.8175038695335388,0.8175032138824463
63677,0.8174999952316284,0.8175040483474731,0.8175032138824463
63697,0.8174999952316284,0.8175041079521179,0.8175032138824463
63717,0.8174999952316284,0.8175039291381836,0.8175032138824463
63737,0.8174999952316284,0.8175038695335388,0.8175032138824463
63757,0.8174999952316284,0.8175040483474731,0.8175032138824463
63777,0.8174999952316284,0.8175041079521179,0.8175032138824463
63797,0.8174999952316284,0.8175039291381836,0.8175032138824463
63817,0.8174999952316284,0.8175038695335388,0.8175032138824463
63837,0.8174999952316284,0.8175040483474731,0.8175032138824463
63857,0.8174999952316284,0.8175041079521179,0.8175032138824463
63877,0.8174999952316284,0.8175039291381836,0.8175032138824463
63897,0.8174999952316284,0.8175038695335388,0.8175032138824463
63917,0.8174999952316284,0.8175040483474731,0.8175032138824463
63937,0.8174999952316284,0.8175041079521179,0.8175032138824463
63957,0.8174999952316284,0.8175039291381836,0.8175032138824463
63977,0.8174999952316284,0.8175038695335388,0.8175032138824463
63997,0.8174999952316284,0.8175040483474731,0.8175032138824463
64017,0.8174999952316284,0.8175041079521179,0.8175032138824463
64037,0.8174999952316284,0.8175039291381836,0.8175032138824463
64057,0.8174999952316284,0.8175038695335388,0.8175032138824463
64077,0.8174999952316284,0.8175040483474731,0.8175032138824463
64097,0.8174999952316284,0.8175041079521179,0.8175032138824463
64117,0.8174999952316284,0.8175039291381836,0.8175032138824463
64137,0.8174999952316284,0.8175038695335388,0.8175032138824463
64157,0.8174999952316284,0.8175040483474731,0.8175032138824463
64177,0.8174999952316284,0.8175041079521179,0.8175032138824463
64197,0.8174999952316284,0.8175039291381836,0.8175032138824463
64217,0.8174999952316284,0.8175039291381836,0.8175032138824463
