Timestamp,INDI_Outer.posRef_x,INDI_Outer.posS_x,INDI_Outer.velRef_x,INDI_Outer.velS_x
67395,0.5,0.5239614844322205,-0.02875378169119358,0.010629275813698769
67415,0.5,0.5240411162376404,-0.028849340975284576,0.010467031970620155
67435,0.5,0.5239322781562805,-0.02871873416006565,0.008754795417189598
67455,0.5,0.5236411690711975,-0.02836940437555313,0.0057549322955310345
67475,-0.3499999940395355,0.5231038331985474,-1.047724723815918,0.0009041704470291734
67495,-0.3499999940395355,0.5231904983520508,-1.0478286743164062,0.00213036616332829
67515,-0.3499999940395355,0.5229783058166504,-1.0475740432739258,0.0002839163353201002
67535,-0.3499999940395355,0.5235780477523804,-1.0482937097549438,0.00556902727112174
67555,-0.3499999940395355,0.5221744179725647,-1.0466092824935913,-0.007723276503384113
67575,-0.3499999940395355,0.5208954811096191,-1.045074701309204,-0.01901795156300068
